"FOLIO","VIV_SEL","P0_1","P0_2","P0_3","P0_4_1","P0_4_1A","P0_4_2","P0_4_2A","P1_1","P1_2","P1_3","TLOC","REGION","EST_DIS","UPM_DIS","FAC_VIV"
"00001","01","01","05","00","2","","1","1","02","1","","1","3","003","0000001",1841
"00002","02","02","03","01","2","","1","1","04","1","","1","3","003","0000001",1841
"00003","03","02","03","01","2","","2","","07","1","","1","3","003","0000001",1841
"00004","04","03","05","02","1","1","1","1","04","1","","1","3","003","0000001",1841
"00005","05","03","05","01","1","1","1","1","08","1","","1","3","003","0000001",1841
"00006","01","03","04","01","1","1","1","1","06","1","","1","3","004","0000002",1273
"00007","02","01","03","01","2","","2","","01","1","","1","3","004","0000002",1273
"00008","04","01","06","01","2","","1","1","02","1","","1","3","004","0000002",1273
"00009","05","01","03","02","1","1","1","1","02","1","","1","3","004","0000002",1273
"00010","01","04","12","02","1","2","1","1","04","1","","1","3","004","0000003",733
"00011","02","04","08","02","1","1","1","1","04","1","","1","3","004","0000003",733
"00012","03","03","04","01","1","1","1","1","04","1","","1","3","004","0000003",733
"00013","04","03","06","04","2","","2","","02","1","","1","3","004","0000003",733
"00014","05","02","05","01","1","1","1","1","03","1","","1","3","004","0000003",733
"00015","01","03","04","02","1","1","1","1","05","1","","1","3","004","0000004",1256
"00016","02","03","05","01","1","1","1","1","03","1","","1","3","004","0000004",1256
"00017","03","03","04","01","1","1","1","1","03","1","","1","3","004","0000004",1256
"00018","04","03","05","01","2","","1","1","03","1","","1","3","004","0000004",1256
"00019","01","01","05","02","2","","2","","01","1","","1","3","004","0000005",1357
"00020","02","02","04","02","1","2","1","1","02","1","","1","3","004","0000005",1357
"00021","03","02","05","02","1","1","1","1","03","1","","1","3","004","0000005",1357
"00022","04","02","06","02","2","","1","1","02","1","","1","3","004","0000005",1357
"00023","05","02","04","02","1","1","1","1","03","1","","1","3","004","0000005",1357
"00024","01","02","08","04","1","1","1","1","02","2","02","1","3","005","0000006",1377
"00025","02","01","05","03","1","2","1","1","02","1","","1","3","005","0000006",1377
"00026","03","03","06","03","1","1","1","1","02","1","","1","3","005","0000006",1377
"00027","05","03","08","04","1","3","1","1","05","1","","1","3","005","0000006",1377
"00028","01","02","04","02","2","","1","1","02","1","","1","3","004","0000007",1124
"00029","02","02","03","01","1","1","2","","05","1","","1","3","004","0000007",1124
"00030","03","02","04","01","1","1","1","1","03","1","","1","3","004","0000007",1124
"00031","04","02","03","01","1","1","1","1","02","1","","1","3","004","0000007",1124
"00032","05","03","05","01","2","","1","1","06","1","","1","3","004","0000007",1124
"00033","01","01","04","01","2","","2","","01","1","","1","3","004","0000008",1398
"00034","02","03","07","01","1","1","1","1","04","1","","1","3","004","0000008",1398
"00035","04","02","05","02","1","1","1","1","05","1","","1","3","004","0000008",1398
"00036","05","04","06","02","1","2","1","1","04","1","","1","3","004","0000008",1398
"00037","01","02","04","01","1","1","1","1","04","1","","1","3","004","0000009",1318
"00038","02","03","04","02","2","","1","1","05","1","","1","3","004","0000009",1318
"00039","03","01","04","01","2","","1","1","01","1","","1","3","004","0000009",1318
"00040","01","03","04","01","1","1","2","","02","1","","1","3","004","0000010",1348
"00041","02","01","03","01","1","1","1","1","02","1","","1","3","004","0000010",1348
"00042","03","02","03","01","2","","2","","03","1","","1","3","004","0000010",1348
"00043","04","03","04","01","2","","1","1","03","1","","1","3","004","0000010",1348
"00044","05","02","04","01","2","","2","","04","1","","1","3","004","0000010",1348
